name,category,code,image_url,brand,inventory,market_price,price,maker,country_of_origin,delivery_method,delivery_fee,sub_category,condition,option,option_price,description
[테팔]베르살리오 멀티쿠커FR-402373,283,18-04,http://bizmkt.interparkb2b.co.kr/data/goods/other/bizmkt//18-04.jpg,그룹세브,999,160000,144500,그룹세브,중국,101,0,1,100,,,"본체, 분리형전선, 유리뚜껑, 착탈식 디지털타이머. 스텐 튀김바구니, 요리책자"
[동양매직] 대용량 스테인레스 파워믹서기MIX-30R,282,18-05,http://bizmkt.interparkb2b.co.kr/data/goods/other/bizmkt//18-05.jpg,동양매직,999,99000,82300,동양매직,한국,101,0,1,100,,,"본체, 칼날, 설명서"
[쿠첸]전기압력밥솥(10인용)CPP-Q10LC21F,281,18-06,http://bizmkt.interparkb2b.co.kr/data/goods/other/bizmkt//18-06.jpg,㈜리홈론,999,170000,144500,㈜리홈론,한국,101,0,1,100,,,
[NUC]갤럭시 프리미엄 원액기NUC-1245JT,282,18-07,http://bizmkt.interparkb2b.co.kr/data/goods/other/bizmkt//18-07.jpg,NUC전자 ,999,319000,288900,NUC전자 ,한국,101,0,1,100,,,"본체, 원액추출용기, 회전와이퍼, 착즙망, 원액스크류, 용기뚜껑, 호퍼, 누름봉, 원액컵, 섬유질용기, 회전솔, 청소솔, 사용설명서, 퀵가이드, 레시피북, 두부제조세트(두부틀, 누름판, 거름포)"
뮬렉스 스마트 프라이어,284,18-08,http://bizmkt.interparkb2b.co.kr/data/goods/other/bizmkt//18-08.jpg,뮬렉스,999,280000,244500,뮬렉스,중국,101,0,1,100,,,"본체, 칸막이, 바스켓 받침대, 미끄럼방지 실리콘 外"
독일 [기펠] 칼블럭 5종세트레볼루션,301,19-01,http://bizmkt.interparkb2b.co.kr/data/goods/other/bizmkt//19-01.jpg,기펠,999,50000,41600,기펠,중국,101,0,1,100,,,"식도, 산토쿠, 유틸리티, 과도, 블럭"
독일 [기펠] 항균도마세트레볼루션,301,19-02,http://bizmkt.interparkb2b.co.kr/data/goods/other/bizmkt//19-02.jpg,기펠,999,39000,35700,기펠,한국,101,0,1,100,,,"생선용, 야채용, 블록"
[락앤락]비스프리 테이블탑(20P),299,19-03,http://bizmkt.interparkb2b.co.kr/data/goods/other/bizmkt//19-03.jpg,(주)락앤락,999,34000,28800,(주)락앤락,한국,101,0,1,100,,,"원형(150ml, 370ml), 정사각(380ml, 580ml), 직사각(460ml, 760ml×2), 돔형(420ml)"
글라스락 강화유리 밀폐용기(7조)GL-D0107,299,19-04,http://bizmkt.interparkb2b.co.kr/data/goods/other/bizmkt//19-04.jpg,삼광유리,999,25000,16700,삼광유리,한국,101,0,1,100,,,"직사각 유리용기(715ml×2, 400ml×2, 150ml×2), 쉐이커"
글라스락 테이퍼 12조GL-D0012,299,19-05,http://bizmkt.interparkb2b.co.kr/data/goods/other/bizmkt//19-05.jpg,삼광유리,999,38000,34500,삼광유리,한국,101,0,1,100,,,"정테이퍼(920ml×3, 500ml×3), 원테이퍼(730ml×3, 410ml×3)"
[락앤락]밀폐용기 집들이세트(27P),299,19-06,http://bizmkt.interparkb2b.co.kr/data/goods/other/bizmkt//19-06.jpg,(주)락앤락,999,36000,27800,(주)락앤락,한국,101,0,1,100,,,"직사각(470ml×2, 1L×2, 1L(칸칸), 1.9L, 2.3L, 5.5L), 원형(300ml×2, 890ml×2)"
독일 [기펠] 수 셰프 그릴SOUS Chef,297,19-07,http://bizmkt.interparkb2b.co.kr/data/goods/other/bizmkt//19-07.jpg,기펠,999,50000,32200,기펠,한국,101,0,1,100,,,"본체, 스텐망, 기름받이"
